 Number on x ; Number on y ;   geolon  ;  geolat    ;  cos of rot;  sin of rot
     1;     1;    27.525000;    40.940000;     1.000000;    -0.000000
     2;     1;    27.575000;    40.940000;     1.000000;    -0.000000
     3;     1;    27.625000;    40.940000;     1.000000;    -0.000000
     4;     1;    27.675000;    40.940000;     1.000000;    -0.000000
     5;     1;    27.725000;    40.940000;     1.000000;    -0.000000
     6;     1;    27.775000;    40.940000;     1.000000;    -0.000000
     7;     1;    27.825000;    40.940000;     1.000000;    -0.000000
     8;     1;    27.875000;    40.940000;     1.000000;    -0.000000
     9;     1;    27.925000;    40.940000;     1.000000;    -0.000000
    10;     1;    27.975000;    40.940000;     1.000000;    -0.000000
    11;     1;    28.025000;    40.940000;     1.000000;    -0.000000
    12;     1;    28.075000;    40.940000;     1.000000;    -0.000000
    13;     1;    28.125000;    40.940000;     1.000000;    -0.000000
    14;     1;    28.175000;    40.940000;     1.000000;    -0.000000
    15;     1;    28.225000;    40.940000;     1.000000;    -0.000000
    16;     1;    28.275000;    40.940000;     1.000000;    -0.000000
    17;     1;    28.325000;    40.940000;     1.000000;    -0.000000
    18;     1;    28.375000;    40.940000;     1.000000;    -0.000000
    19;     1;    28.425000;    40.940000;     1.000000;    -0.000000
    20;     1;    28.475000;    40.940000;     1.000000;    -0.000000
    21;     1;    28.525000;    40.940000;     1.000000;    -0.000000
    22;     1;    28.575000;    40.940000;     1.000000;    -0.000000
    23;     1;    28.625000;    40.940000;     1.000000;    -0.000000
    24;     1;    28.675000;    40.940000;     1.000000;    -0.000000
    25;     1;    28.725000;    40.940000;     1.000000;    -0.000000
    26;     1;    28.775000;    40.940000;     1.000000;    -0.000000
    27;     1;    28.825000;    40.940000;     1.000000;    -0.000000
    28;     1;    28.875000;    40.940000;     1.000000;    -0.000000
    29;     1;    28.925000;    40.940000;     1.000000;    -0.000000
    30;     1;    28.975000;    40.940000;     1.000000;    -0.000000
    31;     1;    29.025000;    40.940000;     1.000000;    -0.000000
    32;     1;    29.075000;    40.940000;     1.000000;    -0.000000
    33;     1;    29.125000;    40.940000;     1.000000;    -0.000000
    34;     1;    29.175000;    40.940000;     1.000000;    -0.000000
    35;     1;    29.225000;    40.940000;     1.000000;    -0.000000
    36;     1;    29.275000;    40.940000;     1.000000;    -0.000000
    37;     1;    29.325000;    40.940000;     1.000000;    -0.000000
    38;     1;    29.375000;    40.940000;     1.000000;    -0.000000
    39;     1;    29.425000;    40.940000;     1.000000;    -0.000000
    40;     1;    29.475000;    40.940000;     1.000000;    -0.000000
    41;     1;    29.525000;    40.940000;     1.000000;    -0.000000
    42;     1;    29.575000;    40.940000;     1.000000;    -0.000000
    43;     1;    29.625000;    40.940000;     1.000000;    -0.000000
    44;     1;    29.675000;    40.940000;     1.000000;    -0.000000
    45;     1;    29.725000;    40.940000;     1.000000;    -0.000000
    46;     1;    29.775000;    40.940000;     1.000000;    -0.000000
    47;     1;    29.825000;    40.940000;     1.000000;    -0.000000
    48;     1;    29.875000;    40.940000;     1.000000;    -0.000000
    49;     1;    29.925000;    40.940000;     1.000000;    -0.000000
    50;     1;    29.975000;    40.940000;     1.000000;    -0.000000
    51;     1;    30.025000;    40.940000;     1.000000;    -0.000000
    52;     1;    30.075000;    40.940000;     1.000000;    -0.000000
    53;     1;    30.125000;    40.940000;     1.000000;    -0.000000
    54;     1;    30.175000;    40.940000;     1.000000;    -0.000000
    55;     1;    30.225000;    40.940000;     1.000000;    -0.000000
    56;     1;    30.275000;    40.940000;     1.000000;    -0.000000
    57;     1;    30.325000;    40.940000;     1.000000;    -0.000000
    58;     1;    30.375000;    40.940000;     1.000000;    -0.000000
    59;     1;    30.425000;    40.940000;     1.000000;    -0.000000
    60;     1;    30.475000;    40.940000;     1.000000;    -0.000000
    61;     1;    30.525000;    40.940000;     1.000000;    -0.000000
    62;     1;    30.575000;    40.940000;     1.000000;    -0.000000
    63;     1;    30.625000;    40.940000;     1.000000;    -0.000000
    64;     1;    30.675000;    40.940000;     1.000000;    -0.000000
    65;     1;    30.725000;    40.940000;     1.000000;    -0.000000
    66;     1;    30.775000;    40.940000;     1.000000;    -0.000000
    67;     1;    30.825000;    40.940000;     1.000000;    -0.000000
    68;     1;    30.875000;    40.940000;     1.000000;    -0.000000
    69;     1;    30.925000;    40.940000;     1.000000;    -0.000000
    70;     1;    30.975000;    40.940000;     1.000000;    -0.000000
    71;     1;    31.025000;    40.940000;     1.000000;    -0.000000
    72;     1;    31.075000;    40.940000;     1.000000;    -0.000000
    73;     1;    31.125000;    40.940000;     1.000000;    -0.000000
    74;     1;    31.175000;    40.940000;     1.000000;    -0.000000
    75;     1;    31.225000;    40.940000;     1.000000;    -0.000000
    76;     1;    31.275000;    40.940000;     1.000000;    -0.000000
    77;     1;    31.325000;    40.940000;     1.000000;    -0.000000
    78;     1;    31.375000;    40.940000;     1.000000;    -0.000000
    79;     1;    31.425000;    40.940000;     1.000000;    -0.000000
    80;     1;    31.475000;    40.940000;     1.000000;    -0.000000
    81;     1;    31.525000;    40.940000;     1.000000;    -0.000000
    82;     1;    31.575000;    40.940000;     1.000000;    -0.000000
    83;     1;    31.625000;    40.940000;     1.000000;    -0.000000
    84;     1;    31.675000;    40.940000;     1.000000;    -0.000000
    85;     1;    31.725000;    40.940000;     1.000000;    -0.000000
    86;     1;    31.775000;    40.940000;     1.000000;    -0.000000
    87;     1;    31.825000;    40.940000;     1.000000;    -0.000000
    88;     1;    31.875000;    40.940000;     1.000000;    -0.000000
    89;     1;    31.925000;    40.940000;     1.000000;    -0.000000
    90;     1;    31.975000;    40.940000;     1.000000;    -0.000000
    91;     1;    32.025000;    40.940000;     1.000000;    -0.000000
    92;     1;    32.075000;    40.940000;     1.000000;    -0.000000
    93;     1;    32.125000;    40.940000;     1.000000;    -0.000000
    94;     1;    32.175000;    40.940000;     1.000000;    -0.000000
    95;     1;    32.225000;    40.940000;     1.000000;    -0.000000
    96;     1;    32.275000;    40.940000;     1.000000;    -0.000000
    97;     1;    32.325000;    40.940000;     1.000000;    -0.000000
    98;     1;    32.375000;    40.940000;     1.000000;    -0.000000
    99;     1;    32.425000;    40.940000;     1.000000;    -0.000000
   100;     1;    32.475000;    40.940000;     1.000000;    -0.000000
   101;     1;    32.525000;    40.940000;     1.000000;    -0.000000
   102;     1;    32.575000;    40.940000;     1.000000;    -0.000000
   103;     1;    32.625000;    40.940000;     1.000000;    -0.000000
   104;     1;    32.675000;    40.940000;     1.000000;    -0.000000
   105;     1;    32.725000;    40.940000;     1.000000;    -0.000000
   106;     1;    32.775000;    40.940000;     1.000000;    -0.000000
   107;     1;    32.825000;    40.940000;     1.000000;    -0.000000
   108;     1;    32.875000;    40.940000;     1.000000;    -0.000000
   109;     1;    32.925000;    40.940000;     1.000000;    -0.000000
   110;     1;    32.975000;    40.940000;     1.000000;    -0.000000
   111;     1;    33.025000;    40.940000;     1.000000;    -0.000000
   112;     1;    33.075000;    40.940000;     1.000000;    -0.000000
   113;     1;    33.125000;    40.940000;     1.000000;    -0.000000
